[18:45:09] [INFO] received Windows console close event; shutting log-core down
[18:45:46] [INFO] received Windows console close event; shutting log-core down
[18:45:57] [INFO] received Windows console close event; shutting log-core down
[18:49:09] [INFO] received Windows console close event; shutting log-core down
[18:50:20] [INFO] received Windows console close event; shutting log-core down
[18:52:33] [INFO] received Windows console close event; shutting log-core down
[18:53:45] [INFO] received Windows console close event; shutting log-core down
[18:54:49] [INFO] received Windows console close event; shutting log-core down
[18:57:44] [INFO] received Windows console close event; shutting log-core down
[18:58:48] [INFO] received Windows console close event; shutting log-core down
[19:00:33] [INFO] received Windows console close event; shutting log-core down
[19:01:21] [INFO] received Windows console close event; shutting log-core down
[19:02:34] [INFO] received Windows console close event; shutting log-core down
[19:08:07] [INFO] received Windows console close event; shutting log-core down
[19:08:52] [INFO] received Windows console close event; shutting log-core down
[19:10:39] [INFO] received Windows console close event; shutting log-core down
[19:11:31] [INFO] received Windows console close event; shutting log-core down
[19:11:47] [INFO] received Windows console close event; shutting log-core down
[19:17:51] [INFO] received Windows console close event; shutting log-core down
[19:20:45] [INFO] received Windows console close event; shutting log-core down
[21:12:09] [INFO] received Windows console close event; shutting log-core down
[22:20:13] [INFO] received Windows console close event; shutting log-core down
[22:20:34] [INFO] received Windows console close event; shutting log-core down
[22:20:45] [INFO] received Windows console close event; shutting log-core down
[22:21:32] [INFO] received Windows console close event; shutting log-core down
[22:21:42] [INFO] received Windows console close event; shutting log-core down
[22:22:03] [INFO] received Windows console close event; shutting log-core down
[22:22:15] [INFO] received Windows console close event; shutting log-core down
[22:22:21] [INFO] received Windows console close event; shutting log-core down
[22:22:47] [INFO] received Windows console close event; shutting log-core down
[20:49:42] [INFO] received Windows console close event; shutting log-core down
[20:50:22] [INFO] received Windows console close event; shutting log-core down
[22:34:32] [INFO] received Windows console close event; shutting log-core down
[21:02:10] [INFO] received Windows console close event; shutting log-core down
[21:04:41] [INFO] received Windows console close event; shutting log-core down
[20:40:45] [INFO] received Windows console close event; shutting log-core down
[20:52:32] [INFO] received Windows console close event; shutting log-core down
[20:56:51] [INFO] received Windows console close event; shutting log-core down
[20:57:56] [INFO] received Windows console close event; shutting log-core down
[21:00:50] [INFO] received Windows console close event; shutting log-core down
[21:02:13] [INFO] received Windows console close event; shutting log-core down
[17:21:09] [INFO] received Windows console close event; shutting log-core down
[17:50:53] [INFO] received Windows console close event; shutting log-core down
[17:54:06] [INFO] received Windows console close event; shutting log-core down
[12:36:50] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12:37:03] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12:38:21] [INFO] received Windows console close event; shutting log-core down
